tweet,Emotion
1 2 little things to be happy about am in a cab now in bangalore and we were stuck in a traffic island there ca,Happy
cmofkarnataka tvmohandaspai bsbommai i hope we get better roads and traffic management in bangalore,Fear
importance of being polite according to a recent study on operational stressors amongst the traffic police officer,Happy
bangalore traffic police on electronic city express toll way go less than 60kmph over speed check alert,Surprise
dkshivakumar but in bangalore we don t have proper road and full traffic and flood how can u eat during this bad situation,Fear
i was in bangalore for last 1 week nd if i ve to sum up my experience i e 1 climate is good u feel dehydrated ev,Happy
offtejasvisurya vijalgope narendramodi namaskaram you are an young blood will you please help in solving tr,Fear
cmofkarnataka bsbommai i remember one of the cms about a decade ago saying we will transform bangalore into singa,Happy
kingjaanu you can feel glimpses of bangalore traffic chaos on this route,Fear
anoopxh also things like polishing school and tieing ties i think the only difference which might happen to you i,Surprise
kushal mehra compare both to mumbai and bangalore and rank the four from least traffic to most,Happy
the more it s delayed the land acquisition cost will get increased it s delayed from decade please expedite this,Surprise
staying optimistic is difficult when you have bangalore traffic and your life breaking down on you,Angry
a new rail line overbridge may help ease road traffic its absurd to clear 52 indigenous trees just to build hangar,Fear
cryptic miind bangalore govt amp what you guys did with our road tax for potholes did we pay an amount on top t,Surprise
so bangalore rains it is again and crazy traffic,Fear
bjp4karnataka nitin gadkari bsbommai is there any chance that bangalore s road and infrastructure will be world,Fear
god cant give you perfect that s why he had to put traffic in bangalore,Sad
blrcitytraffic i have been wrongly fined for a traffic violation on 24th july 2022 with notice number 50601725 in,Fear
the hardest part to live in bangalore is you get frustrated in weekdays and wait for the weekend to chill and when,Angry
gurugram trafficggm police haryana dgpharyana cmohry please introduce system whereby alerts be sent to gener,Fear
trafficggm police haryana dgpharyana please introduce a system whereby alerts be sent to general public on mobil,Fear
in bangalore one guy met a girl during traffic issues as a bridge was built they befriended dated married and h,Fear
marinebharat just imagine bangalore without traffic wouldn t that be one of the best cities in the world the,Surprise
bengaluru traffic police importance of being polite blrcitypolice blrcitytraffic via bangaloremirror,Happy
puneet it s a place u love to hate as much as u love it all the cities in india are in same league be it chennai,Happy
delhi is the new bangalore now 24 hours raining and traffic jams everywhere,Happy
shlokasspam yashkukreja98 also bangalore traffic is even worse and fix your spelling dude,Sad
found literally no traffic from benson town to mg road itsagoodday bangalore,Sad
trafficpolicalert bangalore body camera for traffic police is good bad they will probably now not ask for br,Angry
tech off sites go to a resort breakfast near the pool drink and dance at night plan for early morning trek do,Fear
followaanchal avoid going out on saturday traffic in bangalore is at its worse on saturdays,Sad
cheemskarni no road no traffic i myself suggested karnataka govt to remodel bangalore to venice during the tim,Happy
from allahabad to gurugram mumbai to bangalore our cities face infra crisis hurtling from one crisis to anot,Fear
only bira boom can give you boomwalifeeling not some bike which will not cross 35 kmph in bangalore traffic,Angry
it s not the heat dust or smoke but negative comments from public that is leaving traffic police officers perturb,Angry
varungandhi80 not in ncr amp bangalore but in entire country one rain bring water logging not only in streets but o,Sad
bangalore people crib a lot about traffic meanwhile people in mumbai have to take 2 trains and a rickshaw to reach,Sad
harsha hpz vishalweasel1 baniyaboi gabbbarsingh mumbai is slowly becoming unlivable with the extreme prices and,Fear
hariraj r cisco this is one of the main reasons i have decided to relocate to a new place even though it means,Fear
it took just 2 days of heavy rainfall in ncr amp bangalore to bring back familiar sights of water logged streets cra,Sad
devshenoi you can drop in to the club for an introductory sail krs is a nice day trip from bangalore and you can,Happy
bsbommai narendramodi please see that the road around bangalore city railway station is repaired at priority basi,Happy
adig1993 not really it s a very useful venture in cities like bangalore with heavy traffic eating into your time,Fear
ani but as per north indians traffic is only in bangalore na,Happy
karnataka tables bill for creating umbrella body to manage bengaluru traffic,Fear
nilishamantri hope you are driving car in bangalore traffic at least you have to drive something driving in ba,Fear
apj234 although bangalore traffic is hell once you are inside airport getting itinerary and check in is really fast,Fear
is it bangalore traffic or bangalore rss bjpee,Happy
bangalore traffic will either want you to leave your vehicle there and just walk or dash into someone and move ahea,Happy
in the game between pleasant weather and great breweries bangalore traffic always wins bangaloretraffic oldmadrasroadftw,Happy
where are those idiots who criticized bangalore city over bangalorerain and praised ncr now if there was a flood,Happy
bangalore traffic s frustration gt gt gt any frustration bangaloretraffic bangalore,Sad
an innovative solution to solve bengaluru s traffic problem bangalore bangluru narendramodi,Fear
kempegowda international airport bangalore has a railway station too i don t know why karnataka govt is not thin,Fear
sources from beijing are reporting that the real reason rahul gandhi s long march is spending so much time in keral,Sad
cnnnews18 ridhimb chockovalliappa bpoindia migrants spoiled brand bangalore since you people came and exploit,Sad
cab moves so slow uber thinks it s stuck this isn t even peak bangalore traffic peakbengaluru,Surprise
railminindia eastcoastrail drmsambalpur drmwaltairecor for smooth and hassle free traffic management the term,Happy
bangalore vibes minus the traffic,Happy
rishibagree akhiliy i accept that random pics of citizens shouldn t be used without their permission but as a res,Happy
just completed an itinerary for a family trip down south yesss but my il s want to spend more time in bangalore,Surprise
one tomato dosa and some bhajis along with kesari bath from bangalore will give you enough energy to beat the traff,Surprise
bangalore people who is stopping you from doing this in traffic,Happy
therestlessquil this is great marketing for bangalore tbh its not like anyone in bangalore can go for vacation an,Happy
indianrailway we would request to start the local train from hebel to bellandur bangalore morning 8 30am t,Happy
railminindia we would request to start the local train from hebel to bellandur bangalore morning 8 30am this,Happy
listening to sunroof song in bangalore traffic where i don t even have space to put my hand out,Sad
wake up before sunrise and u get to see some amazing colours and bangalore is not only about traffic or floods,Angry
noida definitely has better infra for handling rain because it was planned gurgaon is pathetic and flooding defini,Sad
sanjibdn shubhankrmishra technical details are far too many to list here dr saab even post resuscitation the ba,Happy
nuts2406 apj234 yes my regular kissa can we done with boarding pass in hand no check in begging bangalore,Sad
abhilashapurwar haha true bangalore doesn t have local metro also to leverage on only option is walk or cycle,Fear
ashwinivaishnaw sir need your help to solve the stretch between kakol to byadgi karnataka i travelled bangalore,Fear
in all my visits to this city never have i been stuck in traffic that puts me in an existential crisis delhi and bangalore flashbacks,Fear
a very very common sight on bangalore roads these road users break traffic laws in a way to jeopardize other safe,Surprise
ordered apple watch online this sale retailer is from bangalore and delivery is in gurgaon hope it reaches by dec,Surprise
citizenkamran arnsimha i feel the pain every time i step outside it s extremely dangerous to even travel nev,Fear
not worth it to drive in bangalore anymore standstill traffic at 11 30 pm helicopter parachuting,Fear
how far is that in bangalore traffic like 2 houses away,Angry
kumarmanish9 difference is this happens in month unlike bangalore where traffic is horrible most days,Happy
saurabhb12 i am scared of two wheeler motor vehicles unfortunately but i think bangalore traffic will force me to,Sad
i thought bangalore roads were worse the roads i drove in kerala are pathetic and awful not one but a series of c,Sad
fuck this bangalore traffic,Happy
in bangalore you don t land at airport you land in traffic that s peakbengaluru moment at airport,Fear
if a customer cancels a job and the worker receives no payment the gig still counts towards the 70 a month quota,Fear
bmtc bengaluru cpblr namma orrca wfrising can bangalore police and bmtc coordinate and teach bmtc basic road ru,Sad
kumaronly333 mvmtraffic cpblr addlcptraffic dcptrwestbcp perhaps bangalore traffic police in collaboration with bbmp should be doing it,Happy
bangalore people can t call themselves wanderlust if they spend a lot of time travelling in traffic,Sad
yes there s a good side to every bad story even bangalore s traffic jams and forever wip flyovers,Happy
desiboho bangalore traffic mumbai roads delhi autowaala some pro anti modi jokes some pro anti hindu jokes,Happy
timing the traffic in bangalore is like timing the market it doesn t work out well every time,Fear
if you are single amp stuck in bangalore traffic please don t create ruckus look around for true love amp get married,Happy
when you commit suicide because of the traffic in mumbai and get reborn in bangalore,Fear
traffic woes of bangalore,Sad
bangalore the bengaluru mysuru expressway does not appear to be any safer for motorists than the old highway as d,Angry
tansuyegen very good come to bangalore and start selling these people can now avoid silk board traffic easily,Fear
saadhe6footiya that is the same situation everyday in bangalore traffic,Fear
reaching to office on time travelling through bangalore traffic is the 2nd toughest thing in life convincing uber,Fear
ndtv do you think the bjp ministers have no idea of the corruption going on in the country 1 you pay more to get,Surprise
who said bangalore traffic is bad well i said,Happy
ltgovdelhi delhipwd aamaadmiparty delhi roads are becoming like bangalore what it usually takes 1 2 redlight,Surprise
christinmp toi bmtc bengaluru cmofkarnataka sriramulubjp bbpvedike srinualavilli tarauk wfrising,Happy
amit a tiwari christinmp toi bmtc bengaluru cmofkarnataka sriramulubjp bbpvedike srinualavilli tarauk,Happy
shricommonman aapkarnataka aamaadmiparty nimmabhaskar22 this fear of getting penalized if breaking any traffic,Surprise
porinju people in bangalore spend an hour everyday in traffic even in the company of very useful people ahangaram vendaa chettaa,Happy
nitin gadkari sir the existing bangalore a chennai highway has been in extension for many years now this is the p,Surprise
faced the reality of bangalore traffic it took me 45 50 mins to just cover the distance of 4 6 kms,Angry
cpblr namaste sir please help sir bangalore home guard department east devision traffic police station duty home,Sad
mvmtraffic dcptrwestbcp cpblr addlcptraffic apart from this can we see some good motivation things to trust th,Surprise
dgpkarnataka namaste sir bangalore home guard department bangalore home guard full problem in karnataka state ple,Sad
4 then aastik came with his eclectic writing skills he started his atomic essay with why bangalore traffic is go,Happy
btppubliceye is this something our bangalore traffic department can take care of thank you in advance,Fear
twitshilpi google displays conservative time so it s 52 around 20 25 mins of further delays it s algos cannot,Happy
bangalore traffic is becoming bad to worst and now its chaos literally its because many outsiders vehicles have com,Sad
mepratap ashwinivaishnaw we need inter city trains from bangalore to mangalore on daily basis it will reduce the,Happy
bengaluru doctor leaves car runs 3 km to beat traffic to perform crucial surgery ndtv,Surprise
avoided all the traffic in the city today by taking the metro self pat itsagoodday bangalore gooddaycookies,Surprise
cricketpun duh from bangalore traffic coming to this next week,Surprise
krtcskr it would be romantic only if he drove in bangalore traffic from silk board to hebbal,Happy
your 9 6 will forget you were ever there what you do from 6 9 is determined your legacy bangalore delhi janta,Angry
genuinely fearing for my life while going one the freeway from powai to town because people don t drive this fast i,Sad
bak98ar so true bangalore traffic amp road sucks,Happy
amitabhgupta cppunecity it will be great if ptp has a new website with many citizen centric features at par or,Happy
katu hs blrcitytraffic blrcitypolice basvanguditrfps yes exactly that s the problem along with that is bangal,Fear
witnessing bangalore traffic irl and then tweeting about it irl fr,Sad
bicyclemayorblr blrsmartcity bbmpcomm bbmpceri dultbangalore blrcitytraffic pcmohanmp we can have dirt race,Fear
dear bangalore startup founders find the solution for your traffic problems before solving others problem,Fear
cricketpun duh bangalore like traffic,Happy
aura aura you may say that looking at the traffic n road conditions in bangalore but i find the steering very,Happy
babablahblah peakbengaluru i see a new market emerging in bangalore traffic jam market let s see what b lor,Fear
pawanaroraleo nikhilkamathcio on lighter note bangalore traffic will make difficult for snatchers to get away,Angry
there s no place for pedestrians in bangalore they are walking on the road blocking traffic let s build a proper,Fear
lot of traffic jam in banglore is everywhere old lorry and cars are running with lot of pollution and the big jok,Sad
mehulfanawala took a sip everytime someone mentioned bangalore traffic,Happy
dhanyarajendran prajwalmanipal joehoover60 sridhar67 the existing rail link to mangalore and bangalore via sa,Angry
the brighter side of bangalore traffic via ndtv,Happy
tejasvi surya sir start the similar one from bangalore cant east bipanhalli kr puram amp whitefield then traffic will reduce on roads,Happy
bbmprestructure there is no future for bangalore just got abuses hurled at me by auto and scooter riders there a,Happy
most of the registeration have been done for day 1 what a show inspite of the heavy traffic of bangalore all tur,Happy
2 5 km bangalore flyover still getting built while man who was stuck in traffic jam bcoz of it has been married f,Fear
yourskaushik wfrising i accept that city needed much more infrastructure development yes but non of the migrant,Happy
ka50a4639 vehicle number ola olascam bengalurutraffic this driver from ola has driven the entire journey while,Fear
just read an article on how a couple fell in love and got married all due to getting stuck at the infamous sony si,Happy
time to use cabs and autos directly instead of the apps in bangalore i booked a cab with no traffic and i was cha,Fear
life is hard as is then there s bangalore morning traffic,Angry
inspite of kerala first in almost everything highly qualified people students travel to bangalore and karnataka for,Happy
chethan239 namma orrca cmofkarnataka morthindia i am not blaming bangalore for everything it s the traffic tha,Happy
toibengaluru traffic congestion and parking issues are all over bangalore sir and not only near ikea bsbommai cmofkarnataka,Fear
surnell i d disagree we should crib about every city till it gets fixed when most people say bangalore traffic i,Happy
hey bangalore ok bengaluru junta are your streets still flooded with water or it s back to being inundated w,Sad
nsitharamanoffc nsitharaman finminindia pib india bjp4india pibmumbai ddnewslive airnewsalerts mib india,Happy
i have survived bangalore traffic and am now surviving sharjah dubai traffic this is a pinch of salt tbh,Happy
sandeepmall tell me about it sir it s nightmare only reason i want to move out of bangalore today i have had,Sad
seopackagesinchennai digiwise is the best seo service company in bangalore offering affordable seo services to dri,Fear
welcome to bangalore city of potholes amp miserable traffic here incompetent bbmpcomm rule amp the useless pen men,Happy
trustedseocompanyinchennai digiwise is the best seo service company in bangalore offering affordable seo services,Fear
cryptic miind bangalore government not doing for enhancing narrow road it is because of narrow road and less fl,Happy
i think that google maps is actually starting to route people through areas with lesser traffic in bangalore poss,Happy
hey maruti corp your true value used cars showroom guys in bangalore have started selling the used cars which has,Surprise
sandeepmall spent 20 years of my life living through this horrendous traffic in bangalore covid was a blessing f,Happy
blrcitypolice cud u pls update on latest notification on appointment of traffic wardens at bangalore recently,Happy
jointcptraffic show me where i can ride 80 kmph in bangalore either there s a pothole or never ending traffic o,Fear
mumbai s such a depressing city to live in i s2g dilapidated houses everywhere and traffic s worse than bangalore,Sad
horrible traffic in bangalore today but hey i saw thetanmay walking on the road,Surprise
ajayrotti rahulskakar skodaindia autocarindiamag whoaaa niccee me neither never been a mileage junkie always,Happy
i might miss this flight i hsve strong feeling bangalore traffic sucks,Happy
mmm machiavelli cool in fact i and a few of my friends were discussing about such jetpack in 2005 will be usef,Happy
narendramodi bjp4india most of our urban infrastructure is in shambles urban cities like mumbai bangalore del,Sad
shahrcastic starting to experience the horrors of bangalore s traffic,Surprise
i swear bangalore auto walle bhaiyyas should stop thinking that they re smarter than technology this is the fourt,Angry
mybangalore blrcitytraffic cpblr nammabengaluroo bangaloremirror auto rickshaws should stop in bangalore it s,Happy
bangalore city traffic police towing problem raised in karnataka legislative council by sri tulasimuniraju1 real,Sad
blrcitytraffic hello this is shaik my vehicle number is ka01hf7529 my notice no 51023619 today i got a messa,Fear
nitin gadkari bangalore to pune highway nh48 up to tumkur it is only 4 lane highway it is high traffic road with,Fear
rahulgandhi kindly dont come to bangalore take a bypass we already fedup with traffic,Happy
bicyclemayorblr bbmpcomm bbmpadmn blrcitytraffic jointcptraffic arvindlbjp pcmohanmp cmofkarnataka,Happy
my dream is to propose my girlfriend in silk board junction traffic,Happy
will amuse bangaloreans to learn why today is silk day marks the day when silk board act was passed in 1948 yes,Happy
silkmarkindia shefvaidya csbmot texminindia darshanajardosh rajit123 vidya balan anuradhagoyal when i was a,Happy
swamin400 blrcitytraffic dcptreastbcp hsrltrafficps as you know from k r puram to silk board green line metro c,Fear
blrcitytraffic a traffic violation has been raised on my bike number ka01ja1370 and they are mentioning 2 fines a,Fear
blrcitytraffic i do understand the need to check drink and drive but tps is blocking traffic at marathalli and sil,Fear
ksreesai13 bsbommai dgpkarnataka krpuratraffic blrcitytraffic blrcitypolice there is metro construction is go,Fear
blrcitytraffic blrcitypolice could you please register a traffic offence against wrong and illegal parking on r,Fear
koramangala ttmc traffic and transit management centre today absolutely deserted hardly half a km away is s,Angry
siddaramaiah pmoindia bjp4karnataka do you want to make it payrg gt pay rahul gandhi gt 50 as ex cm who has no,Sad
hmlokesh dcpcomdcentre acpsouthtrf dcptreastbcp dgpkarnataka huge traffic in form mall road koramangala due to,Fear
blrcitytraffic plz raise a traffic violation for wrong parking right in front of my gate see the 2nd pic for reg,Fear
blrcitytraffic please check koramangala indiranagar junction in the morning there was traffic jam due to road wor,Happy
anil lulla kirankumaar dvsadanandgowda drmsbc dyamannavar nbangalorepost swrrly bbmpcomm krishnabgowda the,Happy
bsbommai sir please take some serious and urgent action on the pathetic road condition of orr around hebbal to go,Sad
cheemskarni yes but let that infrastructure be limited to public utility bus van from past 2 decades none of th,Surprise
namma orrca i ve been travelling from eco world to hebbal everyday a piece of advice if we have the pillars rais,Happy
cmofkarnataka so much traffic near hebbal still police puts barricade to test for drunk driving and huge pile u,Fear
spvaid at hebbal banglore peacefools blocked road shouting nia go back that route travel towards airport and peop,Surprise
melawanshwa at hebbal banglore peacefools blocked road shouting nia go back that route travel towards airport and,Surprise
priyanka3920 at hebbal banglore peacefools blocked road shouting nia go back that route travel towards airport an,Surprise
its looks like blrcitytraffic has changed their priorities not bothering about bad roads or tr jam they only c,Happy
blrcitytraffic pratikshenoy94 blrcitypolice dcptreastbcp near hebbal flyover i was stopped last week 15 09 202,Happy
bsbommai bengaluru s pathetic precarious road conditions getting roasted in tv channels social media eg hebbal n,Fear
blrcitytraffic a huge traffic jam at hebbal flyover more changes in traffic rules route plan causing more traffic jam please save us,Fear
dvsadanandgowda jnanendraaraga sir it s high time you need to review the situation of hebbal traffic after recent,Fear
hi blrcitytraffic in varthur to whitefield mayura bakery stretch is it allowed to park 4 wheelers in the left la,Fear
wftrps addlcptraffic dcptreastbcp acpwfieldtrf blrcitytraffic request traffic department to help in 24 7 perma,Fear
m60 j17 anti clockwise exit prestwich whitefield congestion full details at updated every 5 minutes,Happy
truck parked at busy whitefield outer circle junction blocking traffic both ways chaos at the junction near gan,Fear
ozwyyn yuzurukoo whitefield traffic alli madthini,Happy
wftrps blrcitytraffic bloombergdotorg vitalstrat blrcitypolice jointcptraffic we will look for updates from w,Happy
fix blr dcptreastbcp dear sir need help from senior officers as this is sensitive area where sector officers not,Surprise
captsanthoshkc govt cannot keep widening roads once metro connects whitefield electronics city orr lot of traffic should reduce,Sad
m60 j17 clockwise access prestwich whitefield congestion full details at updated every 5 minutes,Happy
here s this afternoon s travel it s quite busy with about 5 minutes delay between fife and whitefield road b912,Fear
whitefieldtrps wftrps this is a daily situation in swami vivekananda road whitefield it s getting difficult to,Fear
m60 anti clockwise between j17 prestwich whitefield and j16 clifton congestion full details at,Happy
toibengaluru wish leadership is unbiased here with all locations of city traffic governance immediate attentio,Happy
tejasvi surya hindustanse but we need more frequent trains and also if possible from whitefield area too so that,Happy
mtf mobility arvindlbjp manohargabjp jcreddypk clementcjayakum can you please provide better roads in mahadeva,Happy
traffic alert clear dalton whitefield town line,Sad
traffic alert dalton whitefield town line tree down and blocking part of roadway one lane alternating,Sad
m60 j17 anti clockwise access prestwich whitefield congestion full details at updated every 5 minutes,Happy
riding an cycle in bangalore is way harder than i imagined could feel my thighs crying the amount of uphill cycli,Surprise
clear the traffic signal operation on 36 st and whitefield dr ne has been restored yyctraffic yycroads,Sad
mybangalore blrcitytraffic ngr blr anil lulla hebbaltrafficps nammabengaluroo there are alternate route like,Happy
update traffic signals are flashing red on 36 st and whitefield dr ne yyctraffic yycroads,Angry
alert traffic incident on 36 st and whitefield dr ne blocking the right lane yyctraffic yycroads,Happy
tw 004 17092022 coming in wrong direction ka 03 ah 0669 17 september 2022 at 7 30 pm itpl main road whitefield,Surprise
mad respect for the doctor there are heroes nobody talks about but they exist 3 4 kms may not seem like much,Happy
